"CE Implementados","","","","","","","","","","","",""
"N°","COD SABER","CODIGO","NOMBRE","PROVINCIA","CANTON","LATITUD","LONGITUD","CATALOGO","CANTIDAD DISPOSITIVOS","Fecha Implementación PBS","ESTATUS IMPLEMENTACIÓN","LÍNEA DE CONECTIVIDAD INICIAL"
"1","105534-00","5870","LICEO SOTERO GONZALEZ BARQUERO","SAN JOSE","DESAMPARADOS","9,8753083408115","-84,0882079762609","CAT 3","9","8/30/2024","IMPLEMENTADO","#REF!"
"2","104166-00","4119","LICEO DE CHACARITA","PUNTARENAS","CHACARITA","99793195","-8476714324","CAT 5","87","9/16/2024","IMPLEMENTADO","17312819(500Mbps-FO), 17495546(10Mbps-ADSL), 17765457(10Mbps-ADSL)"
"3","102858-00","2714","CHAGUITE","PUNTARENAS","PUNTARENAS","998441046","-8474460164","CAT 3","","9/27/2024","IMPLEMENTADO","17433991(200Mbps-FO), 17701961(200Mbps-FO)"
"4","103982-00","3904","ESCUELA SAN ANTONIO","ALAJUELA","UPALA","10,944691","-84.965668 ","CAT 2","","11/28/2024","IMPLEMENTADO","17331821(100Mbps-FO)"
"5","100995-00","805","PEDRO PÉREZ ZELEDÓN","SAN JOSE","PEREZ ZELEDON","936707076","-83704793","CAT 4","26","11/29/2024","IMPLEMENTADO","17300741(200Mbps-FO)"
"6","101177-00","988","GUSTAVO AGÜERO BARRANTES","SAN JOSE","PEREZ ZELEDON","94151785","-8373407766","CAT 3","9","12/2/2024","IMPLEMENTADO","17602795(200Mbps-FO)"
"7","101948-00","1776","FERNANDO TERÁN VALLS","CARTAGO","LA UNION","992557403","-8400065345","CAT 4","5","12/3/2024","IMPLEMENTADO","17338521(100Mbps-FO)"
"8","101060-00","870","LA HERMOSA","SAN JOSE","PEREZ ZELEDON","934845543","-8365711117","CAT 2","4","12/4/2024","IMPLEMENTADO","17313018(100Mbps-FO)"
"9","101112-00","922","HERNÁN RODRÍGUEZ RUÍZ","SAN JOSE","PEREZ ZELEDON","932090566","-8366215356","CAT 3","21","12/4/2024","IMPLEMENTADO","17602797(100Mbps-FO), 17920795(100Mbps-FO), 17920861(100Mbps-FO), 27713747(100Mbps-FO)"
"10","101194-00","1006","SINAÍ","SAN JOSE","PEREZ ZELEDON","937018844","-8369453042","CAT 3","17","12/4/2024","IMPLEMENTADO","27711813(25Mbps-ADSL), 27714643(25Mbps-ADSL), 27718469(25Mbps-ADSL)"
"11","101381-00","1197","LUIS FELIPE GONZÁLEZ FLORES","ALAJUELA","ALAJUELA","1007489544","-8421624773","CAT 3","11","12/4/2024","IMPLEMENTADO","17653580(10Mbps-ADSL)"
"12","101049-00","859","EL HOYÓN","SAN JOSE","PEREZ ZELEDON","936326763","-8372057319","CAT 2","7","12/5/2024","IMPLEMENTADO","17370710(25Mbps-SATELITAL), 17582225(10Mbps-ADSL), 27720454(4Mbps-ADSL)"
"13","101062-00","872","LA LINDA","SAN JOSE","PEREZ ZELEDON","936641777","-8365047874","CAT 2","2","12/5/2024","IMPLEMENTADO","17963041(10Mbps-ADSL)"
"14","101079-00","889","LAS MERCEDES","SAN JOSE","PEREZ ZELEDON","926144737","-8358073465","CAT 3","1","12/5/2024","IMPLEMENTADO","17821781(2Mbps-ADSL)"
"15","101121-00","931","MIXTA PEDREGOSO","SAN JOSE","PEREZ ZELEDON","93752147","-8372188067","CAT 3","1","12/5/2024","IMPLEMENTADO","17332131(60Mbps-FO)"
"16","102233-00","2067","SAN PABLO","HEREDIA","BARVA","1002291448","-8412704034","CAT 3","1","12/5/2024","IMPLEMENTADO","17340301(35Mbps-FO), 17754216(100Mbps-FO)"
"17","104083-00","4029","LICEO DE TURRÚCARES","ALAJUELA","ALAJUELA","995964202","-8431737398","CAT 4","3","12/5/2024","IMPLEMENTADO","17683043(300Mbps-FO)"
"18","102111-00","1942","AZUL","CARTAGO","TURRIALBA","991307374","-8366515308","CAT 3","3","12/6/2024","IMPLEMENTADO","17370991(25Mbps-SATELITAL), 17406373(6Mbps-ADSL)"
"19","101192-00","1004","SANTO TOMÁS","SAN JOSE","PEREZ ZELEDON","947816829","-837794897","CAT 2","1","12/9/2024","IMPLEMENTADO","17370240(25Mbps-SATELITAL)"
"20","101382-00","1198","SAN ANTONIO","ALAJUELA","ALAJUELA","99965975","-8422265811","CAT 3","11","12/9/2024","IMPLEMENTADO","17300195(70Mbps-FO)"
"21","100856-00","660","LA PALMA","SAN JOSE","PURISCAL","978835533","-8438499778","CAT 2","1","12/10/2024","IMPLEMENTADO","17370697(25Mbps-SATELITAL), 17625760(10Mbps-ADSL), 17774368(20Mbps-ADSL)"
"22","100938-00","744","CRISTO REY","SAN JOSE","PEREZ ZELEDON","927277691","-8349244167","CAT 2","1","12/10/2024","IMPLEMENTADO","PENDIENTE"
"23","101910-00","1737","SAN JOAQUÍN","CARTAGO","CARTAGO","978818912","-8404193579","CAT 2","","12/10/2024","IMPLEMENTADO","17349041(10Mbps-FO), 17678966(2Mbps-ADSL)"
"24","101940-00","1767","SAN VICENTE","CARTAGO","LA UNION","990028452","-8397733734","CAT 3","14","12/10/2024","IMPLEMENTADO","17300749(10Mbps-FO), 17771629(100Mbps-FO), 22784622(6Mbps-ADSL), 22794154(4Mbps-ADSL)"
"25","104072-00","4015","COLEGIO AMBIENTALISTA EL ROBLE","ALAJUELA","ALAJUELA","999440601","-8424617141","CAT 5","1","12/10/2024","IMPLEMENTADO","17945857(500Mbps-FO)"
"26","104816-00","6132","J.N. PEDRO AGUIRRE CERDA","ALAJUELA","POAS","1007775792","-8424508887","CAT 3","1","12/10/2024","IMPLEMENTADO","17370599(25Mbps-SATELITAL), 24480168(20Mbps-ADSL)"
"27","100646-00","442","OTTO HUBBE","SAN JOSE","SAN JOSE","995910348","-841203681","CAT 4","1","12/11/2024","IMPLEMENTADO","17300502(60Mbps-FO)"
"28","101257-00","1070","TIERRA PROMETIDA","SAN JOSE","PEREZ ZELEDON","938147694","-8371177784","CAT 3","1","12/11/2024","IMPLEMENTADO","27720569(100Mbps-FO)"
"29","101426-00","1242","ALBERTO MANUEL BRENES MORA","ALAJUELA","SAN RAMON","1009516571","-8446608556","CAT 3","4","12/11/2024","IMPLEMENTADO","17973118(200Mbps-FO)"
"30","101478-00","1296","JOAQUÍN LORENZO SANCHO QUESADA","ALAJUELA","PALMARES","1006988497","-8443659945","CAT 4","1","12/11/2024","IMPLEMENTADO","17300616(10Mbps-FO), 24530486(4Mbps-ADSL), 24532286(6Mbps-ADSL)"
"31","101553-00","1371","RINCÓN DE OROZCO","ALAJUELA","SAN RAMON","1006807035","-8445878163","CAT 2","8","12/11/2024","IMPLEMENTADO","24473694(4Mbps-ADSL)"
"32","103450-00","3341","CHASE","LIMON","TALAMANCA","960224484","-8286610738","CAT 3","8","12/11/2024","IMPLEMENTADO","17370856(25Mbps-SATELITAL)"
"33","104065-00","4008","LICEO FERNANDO VOLIO JIMÉNEZ","SAN JOSE","PEREZ ZELEDON","93135149","-8366605041","CAT 4","5","12/11/2024","IMPLEMENTADO","27710405(100Mbps-FO), 27720557(100Mbps-FO)"
"34","104086-00","4032","LICEO NUESTRA SEÑORA DE LOS ÁNGELES","ALAJUELA","SAN RAMON","1010414003","-8447351309","CAT 4","32","12/11/2024","IMPLEMENTADO","17309422(300Mbps-FO)"
"35","104247-00","4207","C.T.P. DE ABANGARES","GUANACASTE","ABANGARES","1028193676","-8496519997","CAT 4","1","12/11/2024","IMPLEMENTADO","17338131(500Mbps-FO)"
"36","104766-00","5995","LICEO DE MAGALLANES","ALAJUELA","SAN RAMON","1007003731","-8450152605","CAT 3","16","12/11/2024","IMPLEMENTADO","17305951(45Mbps-FO)"
"37","100569-00","360","LUIS DEMETRIO TINOCO CASTRO","SAN JOSE","GOICOECHEA","996010761","-8400767912","CAT 5","5","12/12/2024","IMPLEMENTADO","17342401(70Mbps-FO)"
"38","100623-00","418","ROBERTO CANTILLANO VINDAS","SAN JOSE","GOICOECHEA","996542224","-8400949889","CAT 5","5","12/12/2024","IMPLEMENTADO","17334171(100Mbps-FO)"
"39","100633-00","428","SAN FELIPE","SAN JOSE","ALAJUELITA","990187905","-8410463141","CAT 4","1","12/12/2024","IMPLEMENTADO","17307691(70Mbps-FO)"
"40","100702-00","501","MANUEL HIDALGO MORA","SAN JOSE","ASERRI","986259872","-8409354147","CAT 5","5","12/12/2024","IMPLEMENTADO","17342851(100Mbps-FO)"
"41","100908-00","713","ROGELIO FERNÁNDEZ GÜELL","SAN JOSE","MORA","991334167","-8424233205","CAT 4","6","12/12/2024","IMPLEMENTADO","17305272(60Mbps-FO)"
"42","101182-00","994","EL PEJE","SAN JOSE","PEREZ ZELEDON","927640428","-8365179829","CAT 2","4","12/12/2024","IMPLEMENTADO","17301237(10Mbps-FO)"
"43","101352-00","1167","GABRIELA MISTRAL","ALAJUELA","ALAJUELA","996293529","-8425556894","CAT 5","26","12/12/2024","IMPLEMENTADO","17300111(100Mbps-FO)"
"44","102386-00","2221","JOSÉ EZEQUIEL GONZÁLEZ VINDAS","HEREDIA","SAN PABLO","999545998","-8409767816","CAT 4","1","12/12/2024","IMPLEMENTADO","17342351(70Mbps-FO)"
"45","102394-00","2229","RODOLFO PETERS SCHEIDER","HEREDIA","SANTA BARBARA","1005558491","-8416410253","CAT 3","4","12/12/2024","IMPLEMENTADO","17300576(10Mbps-FO), 17658724(100Mbps-FO), 17776177(100Mbps-FO)"
"46","104426-00","5129","LICEO RURAL EL JARDÍN","SAN JOSE","PEREZ ZELEDON","955705082","-8370584129","CAT 2","1","12/12/2024","IMPLEMENTADO","17312373(25Mbps-SATELITAL)"
"47","100561-00","352","PILAR JIMÉNEZ SOLIS","SAN JOSE","GOICOECHEA","994896452","-840552527","CAT 4","1","12/13/2024","IMPLEMENTADO","17331081(70Mbps-FO)"
"48","101386-00","1202","SAN JOSÉ NORTE","ALAJUELA","ATENAS","1001071585","-8440714528","CAT 2","7","12/13/2024","IMPLEMENTADO","17660273(100Mbps-FO)"
"49","101402-00","1218","SIMÓN BOLÍVAR PALACIOS","ALAJUELA","GRECIA","1006858103","-8431035836","CAT 4","29","12/13/2024","IMPLEMENTADO","17308382(30Mbps-FO)"
"50","101958-00","1786","DOMINGO FAUSTINO SARMIENTO","CARTAGO","CARTAGO","984547966","-8390863972","CAT 4","22","12/13/2024","IMPLEMENTADO","17314761(35Mbps-FO)"
"51","102229-00","2063","SAN BOSCO","HEREDIA","SANTA BARBARA","1006245583","-8415816236","CAT 3","4","12/13/2024","IMPLEMENTADO","17370621(25Mbps-SATELITAL), 17610851(200Mbps-FO)"
"52","105055-00","6640","C.T.P. DE COPAL","GUANACASTE","NICOYA","1016878616","-8526411869","CAT 3","18","12/13/2024","IMPLEMENTADO","17318901(300Mbps-FO)"
"53","104511-00","5346","LA RIVIERA","PUNTARENAS","ESPARZA","999807575","-8466470438","CAT 3","18","12/16/2024","IMPLEMENTADO","17344971(10Mbps-FO), 17433311(100Mbps-FO), 17756744(100Mbps-FO)"
"54","101292-00","1107","PACTO DEL JOCOTE","ALAJUELA","ALAJUELA","1000821619","-84238324","CAT 5","28","12/17/2024","IMPLEMENTADO","17339121(100Mbps-FO)"
"55","101528-00","1346","REPÚBLICA DE COLOMBIA","ALAJUELA","NARANJO","1009608704","-8437944507","CAT 4","24","12/17/2024","IMPLEMENTADO","17334111(60Mbps-FO)"
"56","102420-00","2255","ALBA OCAMPO ALVARADO","GUANACASTE","LIBERIA","1063017735","-8544130796","CAT 4","1","12/17/2024","IMPLEMENTADO","17342251(80Mbps-FO)"
"57","102709-00","2555","PUERTO RICO","GUANACASTE","SANTA CRUZ","1026648444","-8564814355","CAT 3","1","12/17/2024","IMPLEMENTADO","17708137(6Mbps-ADSL)"
"58","104069-00","4012","LICEO CARRILLOS DE POÁS","ALAJUELA","POAS","1002436449","-8428217689","CAT 4","1","12/17/2024","IMPLEMENTADO","17338321(40Mbps-FO)"
"59","104101-00","4048","LICEO ENRIQUE GUIER SAENZ","CARTAGO","PARAISO","982418677","-8380269358","CAT 4","22","12/17/2024","IMPLEMENTADO","17342201(200Mbps-FO)"
"60","104119-00","4070","LICEO HERNÁN VARGAS RAMÍREZ","CARTAGO","JIMENEZ","989259","-8374515723","CAT 4","23","12/17/2024","IMPLEMENTADO","25322351(20Mbps-ADSL)"
"61","104162-00","4115","LICEO EMILIANO ODIO MADRIGAL","PUNTARENAS","ESPARZA","1000188979","-8465269066","CAT 4","3","12/17/2024","IMPLEMENTADO","17699380(300Mbps-FO)"
"62","104420-00","5079","LICEO VILLARREAL","GUANACASTE","SANTA CRUZ","1030152862","-8580665836","CAT 4","1","12/17/2024","IMPLEMENTADO","17333791(50Mbps-FO)"
"63","101596-00","1414","COLONIA NARANJEÑA","ALAJUELA","GUATUSO","1070987584","-8492975526","CAT 2","1","12/18/2024","IMPLEMENTADO","PENDIENTE"
"64","102217-00","2051","SAN FRANCISCO","CARTAGO","TURRIALBA","984092894","-8358187907","CAT 3","1","12/18/2024","IMPLEMENTADO","17334271(15Mbps-FO)"
"65","102339-00","2174","JOSÉ FIGUERES FERRER","HEREDIA","HEREDIA","1000648112","-8413094841","CAT 4","22","12/18/2024","IMPLEMENTADO","17754103(100Mbps-FO), 22601440(11Mbps-ADSL)"
"66","102665-00","2511","CARTAGENA","GUANACASTE","SANTA CRUZ","1038023114","-8567501392","CAT 3","17","12/18/2024","IMPLEMENTADO","17363201(10Mbps-FO)"
"67","103857-00","3773","DAMAS","PUNTARENAS","QUEPOS","949036496","-842095996","CAT 3","3","12/18/2024","IMPLEMENTADO","17301378(10Mbps-FO), 17370763(25Mbps-SATELITAL), 17421302(200Mbps-FO)"
"68","104226-00","4185","C.T.P. DE PACAYAS","CARTAGO","ALVARADO","991611645","-8380545307","CAT 5","7","12/18/2024","IMPLEMENTADO","17335491(300Mbps-FO)"
"69","104925-00","1010","LICEO RURAL CERROS","PUNTARENAS","QUEPOS","950592496","-8418117744","CAT 3","2","12/18/2024","IMPLEMENTADO","17370360(25Mbps-SATELITAL), 17421302(100Mbps-FO)"
"70","100698-00","497","JOSÉ ÁNGEL PADILLA SOLÍS","SAN JOSE","DESAMPARADOS","974764359","-8400071073","CAT 3","13","12/19/2024","IMPLEMENTADO","17312952(25Mbps-SATELITAL), 25440056(6Mbps-ADSL)"
"71","101307-00","1122","MIGUEL RODRÍGUEZ VILLARREAL","ALAJUELA","OROTINA","989985427","-8459939411","CAT 2","6","12/19/2024","IMPLEMENTADO","17370901(25Mbps-SATELITAL), 17686798(10Mbps-ADSL)"
"72","101977-00","1805","J.N. ASCENSIÓN ESQUIVEL","CARTAGO","CARTAGO","986214366","-8391978186","CAT 3","3","12/19/2024","IMPLEMENTADO","PENDIENTE"
"73","102079-00","1910","J.N. RICARDO JIMÉNEZ OREAMUNO","CARTAGO","EL GUARCO","984590716","-839383706","CAT 3","3","12/19/2024","IMPLEMENTADO","17370965(25Mbps-SATELITAL), 17424273(6Mbps-ADSL)"
"74","102492-00","2329","BARRIO LA CRUZ","GUANACASTE","LIBERIA","1060642287","-8543978782","CAT 3","13","12/19/2024","IMPLEMENTADO","17606547(200Mbps-FO)"
"75","104092-00","4039","COLEGIO DR. RICARDO MORENO CAÑAS","ALAJUELA","PALMARES","1003660114","-8444088707","CAT 4","27","12/19/2024","IMPLEMENTADO","17300304(40Mbps-FO), 17683046(100Mbps-FO), 17683047(100Mbps-FO), 24523395(100Mbps-FO)"
"76","104258-00","4218","C.T.P. DE CORREDORES","PUNTARENAS","CORREDORES","850483721","-8283785657","CAT 5","9","12/19/2024","IMPLEMENTADO","17341181(300Mbps-FO)"
"77","104378-00","4997","PUERTO CARRILLO","GUANACASTE","HOJANCHA","986495267","-8547662702","CAT 2","1","12/19/2024","IMPLEMENTADO","17370006(25Mbps-SATELITAL), 17627491(100Mbps-FO), 17729721(100Mbps-FO)"
"78","102722-00","2571","PALESTINA","GUANACASTE","CARRILLO","1038571747","-8558320607","CAT 2","1","12/20/2024","IMPLEMENTADO","22006799(6Mbps-LTE), 84800130(5Mbps-Móvil)"
"79","104048-00","3986","LICEO RICARDO FERNÁNDEZ GUARDIA","SAN JOSE","SAN JOSE","991145854","-8408991294","CAT 5","6","12/20/2024","IMPLEMENTADO","17342591(80Mbps-FO)"
"80","104118-00","4069","COLEGIO DR. CLODOMIRO PICADO TWIGHT","CARTAGO","TURRIALBA","990036707","-8367636286","CAT 5","1","12/20/2024","IMPLEMENTADO","17332431(80Mbps-FO), 17396780(2Mbps-LD)"
"81","104228-00","4188","C.T.P. SAN PABLO","SAN JOSE","LEON CORTES","968389833","-840422259","CAT 4","32","12/20/2024","IMPLEMENTADO","17309031(200Mbps-FO)"
"82","104743-00","5968","LICEO RURAL CAÑON DE EL GUARCO","CARTAGO","EL GUARCO","968318721","-8391936005","CAT 2","4","12/20/2024","IMPLEMENTADO","17370615(25Mbps-SATELITAL)"
"83","100578-00","370","JUAN RAFAEL MORA PORRAS","SAN JOSE","SAN JOSE","993617244","-84088695","CAT 4","6","12/23/2024","IMPLEMENTADO","17342391(60Mbps-FO)"
"84","101293-00","1108","RINCÓN DE HERRERA","ALAJUELA","ALAJUELA","998083793","-8424074132","CAT 4","16","12/23/2024","IMPLEMENTADO","17366181(45Mbps-FO)"
"85","102324-00","2159","FIDEL CHAVES MURILLO","HEREDIA","BELEN","998781614","-8418496874","CAT 4","9","12/23/2024","IMPLEMENTADO","17330661(60Mbps-FO)"
"86","104006-00","3931","PIEDRAS AZULES","GUANACASTE","LA CRUZ","1105337808","-8531873217","CAT 2","1","12/23/2024","IMPLEMENTADO","17311918(25Mbps-SATELITAL)"
"87","104744-00","5969","LICEO RURAL SANTA ROSA","CARTAGO","OREAMUNO","991812042","-8384092673","CAT 3","1","12/23/2024","IMPLEMENTADO","17301791(10Mbps-FO)"
"88","104158-00","4111","LICEO MIGUEL ARAYA VENEGAS","GUANACASTE","CAÑAS","1042819154","-8508667131","CAT 4","7","12/26/2024","IMPLEMENTADO","17331271(300Mbps-FO)"
"89","105009-00","6538","C.T.P. DE CAÑAS","GUANACASTE","CAÑAS","1041756092","-8508997118","CAT 5","35","12/26/2024","IMPLEMENTADO","17362511(200Mbps-FO)"
"90","101843-00","1668","PALENQUE TONJIBE","ALAJUELA","GUATUSO","1063111486","-847862526","CAT 2","1","12/27/2024","IMPLEMENTADO","PENDIENTE"
"91","103088-00","2959","BRUS MALIS","PUNTARENAS","COTO BRUS","883340028","-8304892658","CAT 3","1","12/27/2024","IMPLEMENTADO","22006165(6Mbps-LTE), 87257886(5Mbps-Móvil)"
"92","103204-00","3081","QUIABDO","PUNTARENAS","COTO BRUS","884651375","-83081614","CAT 3","1","12/27/2024","IMPLEMENTADO","22001528(6Mbps-LTE), 87257954(5Mbps-Móvil)"
"93","101476-00","1294","EIDA VARGAS CARRANZA","ALAJUELA","NARANJO","1016500295","-8441943743","CAT 2","","1/8/2025","IMPLEMENTADO","17363721(10Mbps-FO), 17567675(100Mbps-FO)"
"94","103170-00","3047","ABROJO GUAYMÍ","PUNTARENAS","CORREDORES","865585478","-8287640166","CAT 3","1","1/8/2025","IMPLEMENTADO","17313945(25Mbps-SATELITAL)"
"95","104035-00","3968","LICEO PAVAS","SAN JOSE","SAN JOSE","994876062","-8413937668","CAT 5","1","1/8/2025","IMPLEMENTADO","17333231(80Mbps-FO)"
"96","104097-00","4044","LICEO SANTA RITA","ALAJUELA","RIO CUARTO","1040670784","-8421663532","CAT 4","5","1/8/2025","IMPLEMENTADO","17342521(35Mbps-FO)"
"97","100643-00","439","JOSÉ ANA MARÍN CUBERO","SAN JOSE","VASQUEZ DE CORONADO","997886548","-8400839778","CAT 5","1","1/9/2025","IMPLEMENTADO","17351181(300Mbps-FO)"
"98","101370-00","1186","RAMADAS","ALAJUELA","SAN MATEO","994508418","-845492567","CAT 2","3","2/4/2025","IMPLEMENTADO","17753886(100Mbps-FO)"
"99","102675-00","2521","FILADELFIA","GUANACASTE","CARRILLO","1044580737","-8555069362","CAT 4","15","2/3/2025","IMPLEMENTADO","17627793(10Mbps-ADSL)"
"100","102747-00","2596","SAN JUAN CHIQUITO","GUANACASTE","ABANGARES","1027263269","-8497457547","CAT 3","1","12/19/2024","IMPLEMENTADO","17357731(10Mbps-FO)"
"101","102752-00","2601","LAS PALMAS","GUANACASTE","CAÑAS","1043590705","-8509488607","CAT 3","3","1/10/2025","IMPLEMENTADO","17394571(10Mbps-FO), 17630388(10Mbps-FO), 17653456(10Mbps-FO)"
"102","102810-00","2662","MATA DE CAÑA","GUANACASTE","TILARAN","1053986105","-8488011796","CAT 2","3","1/10/2025","IMPLEMENTADO","17358911(100Mbps-FO)"
"103","100525-00","314","MONTERREY VARGAS ARAYA","SAN JOSE","MONTES DE OCA","993773354","-8403428572","CAT 3","20","1/13/2025","IMPLEMENTADO","17334931(30Mbps-FO), 17460468(100Mbps-FO)"
"104","100675-00","472","LOS PINOS","SAN JOSE","ALAJUELITA","991882344","-8411800056","CAT 5","13","1/31/2025","IMPLEMENTADO","17342871(50Mbps-FO)"
"105","104767-00","5996","EXPERIMENTAL BILINGÜE DE SAN RAMÓN","ALAJUELA","SAN RAMON","1009165347","-8446048545","CAT 4","27","1/20/2025","IMPLEMENTADO","17336421(200Mbps-FO)"
"106","102048-00","1879","EMILIO ROBERT BROUCA","CARTAGO","OREAMUNO","994702912","-838629517","CAT 2","1","1/30/2025","IMPLEMENTADO","17989231(100Mbps-FO)"
"107","102116-00","1947","SANTÍSIMA TRINIDAD","CARTAGO","TURRIALBA","981629861","-8356589168","CAT 2","3","1/21/2025","IMPLEMENTADO","17370077(25Mbps-SATELITAL)"
"108","103700-00","3605","EL BOSQUE","LIMON","GUACIMO","1025115593","-8368183284","CAT 2","1","2/12/2025","IMPLEMENTADO","17537144(200Mbps-FO)"
"109","104187-00","4141","LICEO DE CARIARI","LIMON","POCOCI","103717014","-8372749193","CAT 5","15","1/21/2025","IMPLEMENTADO","17309421(100Mbps-FO)"
"110","104190-00","4144","COLEGIO DE JIMÉNEZ","LIMON","POCOCI","1021156568","-8373994355","CAT 5","27","2/3/2025","IMPLEMENTADO","17309682(100Mbps-FO)"
"111","101181-00","993","SANTA CRUZ","PUNTARENAS","BUENOS AIRES","917337795","-8332542698","CAT 4","20","1/23/2025","IMPLEMENTADO","17419530(200Mbps-FO)"
"112","102126-00","1957","CHITARÍA","CARTAGO","TURRIALBA","993579169","-8359021944","CAT 2","2","12/23/2024","IMPLEMENTADO","25541224(0,512Mbps-ADSL)"
"113","104068-00","4011","LICEO DE SANTA GERTRUDIS","ALAJUELA","GRECIA","1008538253","-8428315263","CAT 4","27","1/24/2025","IMPLEMENTADO","17316251(300Mbps-FO)"
"114","100524-00","313","PATIO DE AGUA","SAN JOSE","VASQUEZ DE CORONADO","997489483","-8396508638","CAT 2","5","1/29/2025","IMPLEMENTADO","17694670(100Mbps-FO)"
"115","101065-00","875","CARLOS LUIS VALVERDE VEGA","SAN JOSE","PEREZ ZELEDON","935163267","-8373416817","CAT 2","4","1/28/2025","IMPLEMENTADO","17409656(100Mbps-FO), 27718635(100Mbps-FO)"
"116","101419-00","1235","INVU LAS CAÑAS","ALAJUELA","ALAJUELA","1000909143","-8420318799","CAT 4","25","1/29/2025","IMPLEMENTADO","17620736(300Mbps-FO)"
"117","100669-00","466","FINCA SAN JUAN","SAN JOSE","SAN JOSE","995409079","-8415383098","CAT 4","3","1/29/2025","IMPLEMENTADO","17338251(40Mbps-FO)"
"118","101485-00","1303","JULIA FERNÁNDEZ RODRÍGUEZ","ALAJUELA","PALMARES","1005685275","-8442228716","CAT 3","4","1/29/2025","IMPLEMENTADO","17419792(4Mbps-ADSL), 17621678(100Mbps-FO)"
"119","101525-00","1343","JUAN JOSÉ VALVERDE MADRIGAL","ALAJUELA","SAN RAMON","101326483","-8450773259","CAT 3","5","1/29/2025","IMPLEMENTADO","17370908(25Mbps-SATELITAL), 17620266(10Mbps-ADSL), 24474122(10Mbps-ADSL)"
"120","101541-00","1359","SARCHÍ NORTE","ALAJUELA","VALVERDE VEGA","1008906844","-8434784478","CAT 3","19","1/29/2025","IMPLEMENTADO","17370306(25Mbps-SATELITAL), 24544860(10Mbps-ADSL), 24544906(10Mbps-ADSL)"
"121","102249-00","2084","MANUEL DEL PILAR ZUMBADO GONZÁLEZ","HEREDIA","BELEN","998059131","-8417150823","CAT 3","21","1/29/2025","IMPLEMENTADO","17300583(10Mbps-FO), 17754240(200Mbps-FO), 22654304(100Mbps-FO)"
"122","102311-00","2146","ALBERTO PANIAGUA CHAVARRÍA","HEREDIA","SAN RAFAEL","1003542702","-8410763012","CAT 3","4","1/29/2025","IMPLEMENTADO","17388231(10Mbps-FO), 17496227(100Mbps-FO), 17496659(100Mbps-FO), 17622456(100Mbps-FO)"
"123","102433-00","2268","EL ARBOLITO","GUANACASTE","BAGACES","1052040445","-8523904934","CAT 3","3","1/29/2025","IMPLEMENTADO","17357321(10Mbps-FO)"
"124","102872-00","2729","ARTURO TORRES MARTÍNEZ","PUNTARENAS","ESPARZA","999041914","-8466578203","CAT 3","18","1/30/2025","IMPLEMENTADO","17355251(10Mbps-FO), 17431052(100Mbps-FO), 17653561(100Mbps-FO), 17653562(100Mbps-FO), 17653563(100Mbps-FO)"
"125","103516-00","3414","GENERAL TOMÁS GUARDIA GUTIÉRREZ","LIMON","LIMON","999230061","-8302972938","CAT 4","4","1/30/2025","IMPLEMENTADO","17370852(25Mbps-SATELITAL), 17858770(35Mbps-ADSL)"
"126","103674-00","3579","CALLE UNO","LIMON","POCOCI","1022491122","-8376529335","CAT 2","12","1/30/2025","IMPLEMENTADO","27106487(100Mbps-FO)"
"127","104014-00","3943","LICEO LUIS DOBLES SEGREDA","SAN JOSE","SAN JOSE","993464271","-8409881554","CAT 5","7","1/30/2025","IMPLEMENTADO","17300154(200Mbps-FO)"
"128","104044-00","3980","LICEO HERNÁN ZAMORA ELIZONDO","SAN JOSE","MORAVIA","998290464","-8402266122","CAT 4","3","1/30/2025","IMPLEMENTADO","17343121(200Mbps-FO)"
"129","104046-00","3983","LICEO DE CALLE FALLAS","SAN JOSE","DESAMPARADOS","989159708","-8407111188","CAT 4","5","1/30/2025","IMPLEMENTADO","17304192(100Mbps-FO), 17885674(2Mbps-ADSL)"
"130","104109-00","4058","LICEO DE COT","CARTAGO","OREAMUNO","989203733","-8387073209","CAT 4","25","1/30/2025","IMPLEMENTADO","17309491(200Mbps-FO)"
"131","104110-00","4059","LICEO SAN DIEGO","CARTAGO","LA UNION","990140857","-840009369","CAT 4","5","1/31/2025","IMPLEMENTADO","17300262(50Mbps-FO)"
"132","104130-00","4082","LICEO MARIO VINDAS SALAZAR","HEREDIA","SAN PABLO","999806125","-8409545265","CAT 4","7","1/30/2025","IMPLEMENTADO","17307182(60Mbps-FO)"
"133","101286-00","1101","CALLE LILES","ALAJUELA","POAS","1011529613","-8424340021","CAT 2","7","1/31/2025","IMPLEMENTADO","17370895(25Mbps-SATELITAL), 24483893(100Mbps-FO)"
"134","101397-00","1213","ALICE MOYA RODRÍGUEZ","ALAJUELA","GRECIA","999896894","-8439692477","CAT 2","15","1/28/2025","IMPLEMENTADO","17300811(200Mbps-FO), 17676164(200Mbps-FO), 17676165(200Mbps-FO)"
"135","104135-00","4087","EXPERIMENTAL BILINGUE DE BELÉN","HEREDIA","BELEN","997500223","-8418735973","CAT 5","1","1/31/2025","IMPLEMENTADO","17343151(100Mbps-FO), 17421426(100Mbps-FO), 17421430(100Mbps-FO), 17667096(100Mbps-FO), 17754220(100Mbps-FO)"
"136","104165-00","4118","LICEO DE MIRAMAR","PUNTARENAS","MONTES DE ORO","1008768054","-8473154042","CAT 4","28","1/31/2025","IMPLEMENTADO","17331531(200Mbps-FO)"
